NODE0; NODE1; NODE2; NODE3; NODE4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2152;2153;31341;31342;35130;35131;51711;;;;;;;;;;;;;;;;;;;;;;;;;;;
7144;7144;9647;9649;30237;30239;99134;99135;122408;122409;124439;129757;196971;200109;293419;;;;;;;;;;;;;;;;;;;
6918;6919;12830;12831;19699;19700;21852;21853;34010;38271;38272;44886;60322;100996;;;;;;;;;;;;;;;;;;;;
4101;4101;9452;9453;16294;16295;30808;30809;82257;82257;;;;;;;;;;;;;;;;;;;;;;;;
6455;6460;13220;13221;23572;23572;27178;27179;42795;42796;;;;;;;;;;;;;;;;;;;;;;;;
3006;3006;16602;16603;18162;18164;21071;21071;43559;43561;;;;;;;;;;;;;;;;;;;;;;;;
8871;8872;10354;10355;17840;17841;51079;51089;54166;54166;;;;;;;;;;;;;;;;;;;;;;;;
2562;2564;9944;9946;20698;20699;21823;21824;69175;74846;74847;75825;;;;;;;;;;;;;;;;;;;;;;
4202;4204;9277;9278;15914;15915;36549;36550;;;;;;;;;;;;;;;;;;;;;;;;;;
2332;2334;22931;22932;26048;26049;29295;29297;48251;88703;88704;;;;;;;;;;;;;;;;;;;;;;;
8099;8100;15763;15764;17990;17991;29212;29212;44102;44103;;;;;;;;;;;;;;;;;;;;;;;;
59162;59164;64817;64823;91539;91540;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3562;3564;25629;33918;33918;38235;38235;65915;65916;82087;168936;168936;;;;;;;;;;;;;;;;;;;;;;
2755;2756;15332;15333;34559;34559;123564;153352;167912;167914;179643;179643;;;;;;;;;;;;;;;;;;;;;;
4439;4440;11796;11796;12714;12714;17723;17724;17873;17874;;;;;;;;;;;;;;;;;;;;;;;;
40047;40052;3113;8550;8551;10803;10804;12578;12578;59185;65349;65352;;;;;;;;;;;;;;;;;;;;;;
94933;94934;3061;3062;6233;9896;9897;29069;29070;31838;31839;;;;;;;;;;;;;;;;;;;;;;;
48641;48643;4649;4651;9354;10238;10239;18413;18413;62600;124722;124723;;;;;;;;;;;;;;;;;;;;;;
11940;11941;16820;16820;25671;25672;51374;51375;85289;117995;122219;122219;;;;;;;;;;;;;;;;;;;;;;
15632;15633;55236;55237;56047;56047;108528;108529;119892;119893;;;;;;;;;;;;;;;;;;;;;;;;
19943;19944;22940;22941;25126;25127;82067;117891;117892;134101;134102;;;;;;;;;;;;;;;;;;;;;;;
29013;29014;52242;52244;55151;55152;59739;68561;85524;85525;92440;92441;;;;;;;;;;;;;;;;;;;;;;
476;478;6942;6943;9514;12186;15886;19186;19188;22354;25450;29752;48028;52916;52920;52955;57962;66275;70245;82135;85964;89183;92603;96351;99334;102724;110122;114043;144928;147515;150153;152783;152785;155549
4579;4580;7249;9909;12532;12533;24987;24987;29635;34552;34553;39763;44242;44243;;;;;;;;;;;;;;;;;;;;
52082;52083;55731;55733;55865;55867;58468;66232;66234;;;;;;;;;;;;;;;;;;;;;;;;;
